endpoint_id,seed,feature_set,model_name,split_comparison,mae_exact_delta_b_minus_a,spearman_exact_delta_b_minus_a,censored_nll_delta_b_minus_a,nearest_neighbor_tanimoto_a,nearest_neighbor_tanimoto_b,nearest_neighbor_tanimoto_delta_b_minus_a
hERG_IC50_T,3,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.19759039198957074,-0.19954515667402428,-0.01718047900407904,0.6521739130434783,0.3150684931506849,-0.33710541989279336
hERG_IC50_T,0,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.12363127390599338,-0.20660577165341648,0.031968267114256044,0.6610169491525424,0.3082706766917293,-0.3527462724608131
hERG_IC50_T,0,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.46421995237153757,-0.12678461414157677,0.16911355561095376,0.6610169491525424,0.3082706766917293,-0.3527462724608131
hERG_IC50_T,0,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.8058623600066188,-0.10071791453686624,0.20738856464683098,0.6610169491525424,0.3082706766917293,-0.3527462724608131
hERG_IC50_T,2,morgan,xgboost_aft,scaffold_vs_cluster_butina,-0.15137098641933044,0.029332659798442073,-0.17932825882954195,0.6507936507936508,0.2923076923076923,-0.3584859584859585
hERG_IC50_T,2,morgan,tobit_mlp,scaffold_vs_cluster_butina,-0.008343943416077026,0.00936137648852517,-0.2168964801607831,0.6507936507936508,0.2923076923076923,-0.3584859584859585
hERG_IC50_T,2,morgan,tobit_ensemble,scaffold_vs_cluster_butina,-0.025211664883542317,0.045475843420869216,-0.16953170998578293,0.6507936507936508,0.2923076923076923,-0.3584859584859585
hERG_Ki_B,0,morgan,xgboost_aft,scaffold_vs_cluster_butina,-0.029948463052161478,0.11620265245146616,-0.03466953484686108,0.7050538525269263,0.5669694852084789,-0.13808436731844742
hERG_Ki_B,0,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.10318477267582282,0.06854369196440396,0.03602407348376757,0.7050538525269263,0.5669694852084789,-0.13808436731844742
hERG_Ki_B,0,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.0344512794481906,0.11802667404891487,-0.013325019919968817,0.7050538525269263,0.5669694852084789,-0.13808436731844742
hERG_Ki_B,1,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.10891308943044742,0.06458443396987074,0.16585775667112035,0.6934143222506394,0.4968354430379746,-0.19657887921266476
hERG_Ki_B,1,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.039886978862858635,-0.0696266861791979,0.09775112723596258,0.6934143222506394,0.4968354430379746,-0.19657887921266476
hERG_Ki_B,1,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.11438038077705848,-0.11085754994953032,0.16830768158825893,0.6934143222506394,0.4968354430379746,-0.19657887921266476
hERG_Ki_B,2,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.08328745527705239,-0.11896750302327636,0.05749621345997191,0.7016234616391726,0.5596610169491525,-0.14196244469002006
hERG_Ki_B,2,morgan,tobit_mlp,scaffold_vs_cluster_butina,-0.2420024681524624,-0.05474699579845427,0.052971559350255326,0.7016234616391726,0.5596610169491525,-0.14196244469002006
hERG_Ki_B,2,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.021747460128102913,-0.13894300834874962,0.01776107362498025,0.7016234616391726,0.5596610169491525,-0.14196244469002006
hERG_Ki_B,4,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.08535168126828396,-0.10303585717893105,0.15001744206648193,0.705560951918407,0.5361241523213354,-0.16943679959707159
hERG_Ki_B,4,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.10329185165938237,-0.07391018083757211,-0.05533384801528407,0.705560951918407,0.5361241523213354,-0.16943679959707159
hERG_Ki_B,4,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.06621991674529837,-0.16260638579655673,-0.0028707721745571124,0.705560951918407,0.5361241523213354,-0.16943679959707159
