zinc_id,target_receptor_id,docking_score,cnnscore,cnnaffinity,key_interaction_recall_consensus,num_interactions,gnina_interaction_score,smiles,mw,logp,hbd,hba,rot,tpsa,arom_n,qed,scaffold,cnn_top_decile_threshold,recall_median_threshold,passes_gate
14969920,5cav_a_4zq_1101,-8.034,0.78811,6.84654,0.2894736842105263,24,1.0162471052631579,Cc1cc(CNC(=O)c2cccc(OC3CCN(S(=O)(=O)N(C)C)CC3)c2)on1,422.5,1.56,1,6,7,105.0,1,0.726,O=C(NCc1ccno1)c1cccc(OC2CCNCC2)c1,0.7065239999999998,0.25,True
55566583,1m17_a_aq4_999,-8.405,0.81282,7.45851,0.25,23,1.016025,CCN1CCN(C(=O)c2cc3c(=O)n4cccc(C)c4nc3n2CCCOC)CC1,411.5,1.77,0,5,6,72.1,3,0.578,O=C(c1cc2c(=O)n3ccccc3nc2[nH]1)N1CCNCC1,0.7065239999999998,0.25,True
2382428170,6duk_c_jbj_1103,-9.321,0.77572,7.35895,0.3026315789473684,28,1.0104773684210526,NC(=O)CN1C[C@H]2CN(C(=O)CCc3cnccn3)C[C@@]2(CCc2ccccc2)C1,407.5,1.29,1,5,8,92.4,2,0.712,O=C(CCc1cnccn1)N1CC2CNCC2(CCc2ccccc2)C1,0.7065239999999998,0.25,True
14991457,1xkk_a_fmm_91,-8.813,0.7751,7.32897,0.3026315789473684,28,1.0096697368421053,COCCNC(=O)c1cn([C@@H]2CCCN(C(=O)c3cc(OC)ccc3OC)C2)nn1,417.5,1.15,1,7,8,107.8,3,0.642,O=C(c1ccccc1)N1CCCC(n2ccnn2)C1,0.7065239999999998,0.25,True
2382376931,4hjo_a_aq4_1001,-7.916,0.80432,7.18569,0.25,25,1.0054,Cc1cc(CNC(=O)[C@]23CCCN(Cc4cnn(C)c4C)[C@@H]2CN(C)CC3)no1,400.5,1.63,1,6,5,79.4,3,0.822,O=C(NCc1ccon1)C12CCCN(Cc3cn[nH]c3)C1CNCC2,0.7065239999999998,0.25,True
2384427154,6duk_c_jbj_1103,-8.914,0.77174,7.34012,0.3026315789473684,25,1.005292894736842,Cc1cc(N2C[C@@H]3CN(S(C)(=O)=O)C[C@]3(CCc3ccccc3)C2)nc(=N)[nH]1,401.5,1.53,2,5,5,93.2,2,0.795,N=c1nc(N2CC3CNCC3(CCc3ccccc3)C2)cc[nH]1,0.7065239999999998,0.25,True
2382332887,1xkk_a_fmm_91,-9.927,0.79445,7.28651,0.2631578947368421,22,1.0035157894736841,CC(=O)N[C@@]1(C)CCOC2(CCN(C(=O)c3cc(C)n(C(F)F)n3)CC2)[C@@H]1O,400.4,1.24,2,5,3,96.7,2,0.796,O=C(c1cc[nH]n1)N1CCC2(CCCCO2)CC1,0.7065239999999998,0.25,True
67613503,5cav_a_4zq_1101,-8.642,0.80226,7.06977,0.25,21,1.002825,Cc1ccccc1-c1noc(CNC(=O)C2CCN(S(=O)(=O)N(C)C)CC2)n1,407.5,1.18,1,6,6,108.6,2,0.77,O=C(NCc1nc(-c2ccccc2)no1)C1CCNCC1,0.7065239999999998,0.25,True
725360604,1m17_a_aq4_999,-8.128,0.79371,7.61105,0.2631578947368421,21,1.0025810526315788,COc1ncccc1-c1cnn2ccc(N3CCN(C(=O)OC4(C)COC4)CC3)nc12,424.5,1.85,0,8,4,94.3,4,0.626,O=C(OC1COC1)N1CCN(c2ccn3ncc(-c4cccnc4)c3n2)CC1,0.7065239999999998,0.25,True
65362503,1xkk_a_fmm_91,-9.797,0.76138,7.09516,0.3157894736842105,27,1.001815789473684,CCS(=O)(=O)N1CCC[C@@H](C(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)C1,406.5,1.48,1,4,5,93.4,2,0.814,O=C(Nc1c[nH]n(-c2ccccc2)c1=O)C1CCCNC1,0.7065239999999998,0.25,True
