target,term,lambda,roc_auc,ef1,ef5,bedroc,combination
CDK2,precision,3.0,0.5937243983527591,2.109406449881469,2.826604642841168,0.0709362049408216,rank_fusion
CDK2,f1,0.0,0.7615001348233359,11.60173547434808,6.876665026613589,0.2361815138347693,multiplicative
CDK2,f1,0.0,0.7615001348233359,11.60173547434808,6.876665026613589,0.2361815138347693,additive
CDK2,f1,0.0,0.7615001348233359,11.60173547434808,6.876665026613589,0.2361815138347693,rank_fusion
CDK2,f1,0.25,0.7631181285975006,13.5002012792414,6.834476897615959,0.2594004557721414,multiplicative
CDK2,f1,0.25,0.7658940258248109,13.5002012792414,6.876665026613589,0.2617343072404051,additive
CDK2,f1,0.25,0.7549803118498641,12.23455740931252,6.032902446661001,0.2268736787732989,rank_fusion
CDK2,f1,0.5,0.763921343550182,13.711141924229548,6.876665026613589,0.2642274930405556,multiplicative
CDK2,f1,0.5,0.7683740396680889,13.711141924229548,7.045417542604106,0.2646452138368705,additive
CDK2,f1,0.5,0.7448196521770253,12.23455740931252,5.695397414679966,0.2157921123404874,rank_fusion
CDK2,f1,1.0,0.7647845768776614,13.711141924229548,7.045417542604106,0.2638704833744292,multiplicative
CDK2,f1,1.0,0.7695869947195962,14.13302321420584,7.003229413606476,0.2578073952008405,additive
CDK2,f1,1.0,0.7227216296971677,11.812676119336224,5.062575479715526,0.205286711712987,rank_fusion
CDK2,f1,1.5,0.7652693115092418,14.13302321420584,7.129793800599365,0.261533717203485,multiplicative
CDK2,f1,1.5,0.7684787969451368,14.343963859193988,6.961041284608847,0.2495340951857072,additive
CDK2,f1,1.5,0.7043914189875541,11.60173547434808,4.851634834727378,0.2006627845533613,rank_fusion
CDK2,f1,2.0,0.7656327961328603,14.13302321420584,7.129793800599365,0.2606574115352117,multiplicative
CDK2,f1,2.0,0.7663441825929576,13.289260634253251,6.7501006396207,0.2418826306136161,additive
CDK2,f1,2.0,0.6902911198283724,11.60173547434808,4.851634834727378,0.1971508718785348,rank_fusion
CDK2,f1,3.0,0.7660234653267441,14.13302321420584,7.003229413606476,0.2587230235237168,multiplicative
CDK2,f1,3.0,0.7574540698296919,13.289260634253251,6.159466833653888,0.2295355372950862,additive
CDK2,f1,3.0,0.670503217106215,11.179854184371784,4.471941673748714,0.1932430494619503,rank_fusion
