ligand_stem,target_receptor_id,docking_score,docked_flag,lit_pcba_id_x,label_x,activity_x,cnnscore,cnnaffinity,gnina_empirical_affinity,rescore_status,zinc_id,key_interaction_recall_consensus,num_interactions,gnina_interaction_score,smiles,mw,logp,hbd,hba,rot,tpsa,arom_n,qed,scaffold,lit_pcba_id_y,label_y,activity_y,cnn_top_decile_threshold,recall_median_threshold,passes_gate
67604715,5cav_a_4zq_1101,-8.121,True,67604715,-1,prospective,0.84496,6.98945,-8.12189,success,67604715,0.3064516129032258,20,1.1038993548387097,Cc1ccc(-c2noc(CNC(=O)[C@@H]3CCCN(S(=O)(=O)N(C)C)C3)n2)cc1,407.5,1.18,1,6,6,108.6,2,0.77,O=C(NCc1nc(-c2ccccc2)no1)C1CCCNC1,67604715,-1,prospective,0.6868879999999999,0.2903225806451613,True
2382368069,1xkk_a_fmm_91,-8.631,True,2382368069,-1,prospective,0.8657,7.49625,-8.63513,success,2382368069,0.27419354838709675,21,1.1030693548387096,CS(=O)(=O)N1C[C@H]2[C@@H](CNC(=O)c3ccccc3-n3cccn3)[C@@H]3CC[C@@]2(C1)O3,416.5,1.04,1,5,5,93.5,2,0.786,O=C(NCC1C2CCC3(CNCC13)O2)c1ccccc1-n1cccn1,2382368069,-1,prospective,0.6868879999999999,0.2903225806451613,False
95368809,4hjo_a_aq4_1001,-11.08,True,95368809,-1,prospective,0.85238,7.7394,-11.36457,success,95368809,0.2903225806451613,24,1.0998451612903226,CN(C)C(=O)c1cccc(N2CC[C@@]3(O)CCN(C(=O)C4CCCC4)C[C@H]3C2)n1,400.5,1.76,1,5,3,77.0,1,0.837,O=C(C1CCCC1)N1CCC2CCN(c3ccccn3)CC2C1,95368809,-1,prospective,0.6868879999999999,0.2903225806451613,True
2382424760,4hjo_a_aq4_1001,-8.805,True,2382424760,-1,prospective,0.82861,6.88455,-8.80536,success,2382424760,0.3225806451612903,27,1.0959035483870967,COC(=O)c1ccc(OC)c(C[C@@H]2CCN(C(=O)CSc3nncn3C)C2)c1,404.5,1.79,0,7,7,86.6,3,0.514,O=C(CSc1nnc[nH]1)N1CCC(Cc2ccccc2)C1,2382424760,-1,prospective,0.6868879999999999,0.2903225806451613,True
6948039,1xkk_a_fmm_91,-8.892,True,6948039,-1,prospective,0.78055,7.42144,-8.89649,success,6948039,0.4032258064516129,26,1.0952879032258065,COc1cccc(NC(=O)CNC(=O)Cn2cnc3sc(C)c(C)c3c2=O)c1,400.5,1.84,2,6,6,102.3,2,0.657,O=C(Cn1cnc2sccc2c1=O)NCC(=O)Nc1ccccc1,6948039,-1,prospective,0.6868879999999999,0.2903225806451613,True
9727616,1xkk_a_fmm_91,-8.927,True,9727616,-1,prospective,0.81808,7.67883,-8.93124,success,9727616,0.3387096774193548,24,1.0951716129032258,Cc1nn(CC(=O)NCCCN2CCCCC2)c(=O)c2cc(-c3ccccc3)nn12,408.5,1.86,1,5,7,84.5,4,0.603,O=C(Cn1ncn2nc(-c3ccccc3)cc2c1=O)NCCCN1CCCCC1,9727616,-1,prospective,0.6868879999999999,0.2903225806451613,True
2382412003,5cav_a_4zq_1101,-7.918,True,2382412003,-1,prospective,0.85943,7.78366,-7.92065,success,2382412003,0.27419354838709675,19,1.0950801612903227,O=C(NCCCn1cccn1)c1n[nH]c2c1CCN(C(=O)c1c(F)cccc1F)C2,414.4,1.9,2,4,6,95.9,4,0.603,O=C(NCCCn1cccn1)c1n[nH]c2c1CCN(C(=O)c1ccccc1)C2,2382412003,-1,prospective,0.6868879999999999,0.2903225806451613,False
2382377323,5cav_a_4zq_1101,-9.298,True,2382377323,-1,prospective,0.8077,7.28474,-9.46014,success,2382377323,0.3548387096774194,25,1.0943032258064518,O=C(NCc1nc(-c2ccccc2)n[nH]1)[C@]12CC[C@H](N3CCOCC3)C[C@@H]1CCNC2,424.5,1.57,3,6,5,95.2,3,0.674,O=C(NCc1nc(-c2ccccc2)n[nH]1)C12CCC(N3CCOCC3)CC1CCNC2,2382377323,-1,prospective,0.6868879999999999,0.2903225806451613,True
1857730559,1m17_a_aq4_999,-9.469,True,1857730559,-1,prospective,0.80642,7.07903,-9.46959,success,1857730559,0.3548387096774194,24,1.0925690322580646,CN=c1[nH]c(C(=O)N2CC(=O)N3[C@@H](C[C@H](C(=O)OC)[C@@H]3c3ccccc3)C2)cs1,414.5,1.19,1,6,3,95.1,1,0.764,N=c1[nH]c(C(=O)N2CC(=O)N3C(CCC3c3ccccc3)C2)cs1,1857730559,-1,prospective,0.6868879999999999,0.2903225806451613,True
2386276744,5cav_a_4zq_1101,-8.922,True,2386276744,-1,prospective,0.84647,7.47046,-8.50037,success,2386276744,0.2903225806451613,22,1.0922193548387096,COc1ccc(N2CCN(c3nc(-c4cccnc4)nc4c3CCNC4=O)CC2)cn1,417.5,1.55,1,8,4,96.4,4,0.683,O=C1NCCc2c1nc(-c1cccnc1)nc2N1CCN(c2cccnc2)CC1,2386276744,-1,prospective,0.6868879999999999,0.2903225806451613,True
